group,cluster,word,SSP_adh,position,word_frequency,cluster_frequency,word_length,cluster_length,type,sentence,question,answer_1,answer_2,correct_answer
A,мгн,мгновение,nSSP,start,55.1,113.6,9,3,word,мгновение пролетело незаметно,,,,
B,мст,мститель,nSSP,start,1.9,15.9,8,3,word,мститель преследовал преступника по улице.,Кого преследовал мститель?,кошку,преступника,преступника
A,мгл,мгла,nSSP,start,8.1,9.1,4,3,word,мгла накрыла город,,,,
B,льст,льстец,nSSP,start,0.7,6.7,6,3,word,льстец искусно использовал комплименты,,,,
A,мзд,мзда,nSSP,start,1.5,2.7,4,3,word,мзда взималась с подданных ежемесячно,,,,
B,рв,рванина,nSSP,start,0.4,100.9,7,2,word,на нём была одета одна рванина,,,,
A,льг,льгота,nSSP,start,28.8,38.6,6,2,word,его льгота давала ему много преимуществ ,,,,
B,рж,ржавчина,nSSP,start,4.2,31.1,8,2,word,ржавчина разъедала трубу изнутри,Что разъедало трубу изнутри?,кислота,ржавчина,ржавчина
A,льв,львенок,nSSP,start,1.4,10.9,7,2,word,львёнок играл со своим хвостом,,,,
B,лж,лжец,nSSP,start,1.9,10.1,4,2,word,лжец говорил уверенно и обман было трудно распознать,,,,
A,льд,льдина,nSSP,start,6.1,8.6,6,2,word,огромная льдина свисала с балкона,,,,
B,рт,ртуть,nSSP,start,3.7,7.9,5,2,word,ртуть опасна при поподании на кожу,,,,
A,мщ,мщение,nSSP,start,1.2,1.2,6,2,word,мщение свершилось,,,,
B,ств,ствол,SSP,start,49.5,61.9,5,3,word,ствол дерева был срублен одним ударом,,,,
A,гл,глаз,SSP,start,857.6,2880.4,4,2,word,его глаз странно блестел на свету,,,,
B,вр,вратарь,SSP,start,4.8,3016.4,7,2,word,вратарь яростно защищался,Кто яростно защищался?,вратарь,сторож,вратарь
A,дв,двойник,SSP,start,8,3166,7,2,word,мой двойник сделал за меня всю работу,,,,
B,шкв,шквал,SSP,start,3.4,4.2,5,3,word,бурный шквал ударов обрушился на меня,,,,
A,штр,штраф,SSP,start,32.3,51.1,5,3,word,штраф был несущественным,,,,
B,скл,склон,SSP,start,26.3,262.9,5,3,word,склон горы был усеян цветами,Чем был усеян склон горы?,цветами,норами,цветами
A,цв,цветок,SSP,start,92.4,369.3,6,2,word,одинокий цветок рос посреди поляны,,,,
B,кр,краб,SSP,start,7.9,4723.9,4,2,word,краб вновь зарылся в песок,,,,
A,ст,степь,SSP,start,29.6,9964.8,5,2,word,степь простиралась на много миль вперёд,,,,
B,пр,право,SSP,start,461.4,36041.9,5,2,word,это право считалось неотчуждаемым,,,,
A,сл,слайд,SSP,start,1.7,6393,5,2,word,переключите на следующий слайд,,,,
B,тр,трагедия,SSP,start,45.7,4601.6,8,2,word,трагедия и комедия жанры одного порядка,,,,
A,знь,болезнь,nSSP,end,109.6,1548.5,7,2,word,болезнь протекала тяжело,,,,
B,тр,театр,nSSP,end,305.3,792,5,2,word,театр место для бурных аваций ,,,,
A,зм,организм,nSSP,end,80.6,725.1,8,2,word,организм справлялся с вирусом ,С чем справлялся организм?,с вирусом,с болезнью,с вирусом
B,бль,рубль,nSSP,end,296.4,416.2,5,2,word,рубль снова упал в цене,,,,
A,сл,смысл,nSSP,end,294.6,294.6,5,2,word,смысл слов был мне не ясен,,,,
B,нтр,центр,nSSP,end,265.9,281.5,5,3,word,я направлялся в центр города,,,,
