Value,age,id,group,cluster,word,SSP,word_type,position,word_freq,cluster_freq,word_length,cluster_length,Reading.time
кедр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,1621
смысл,21,88f2ceb4ad7be1adfed2145c5dddd178,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,479
пакет,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,пакет,filler,word,filler,65.8,None,5,None,879
герб,21,88f2ceb4ad7be1adfed2145c5dddd178,A,рб,герб,SSP,word,end,7.7,56.1,4,2,680
кот,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,кот,filler,word,filler,40.3,None,3,None,409
льгота,21,88f2ceb4ad7be1adfed2145c5dddd178,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,639
мзда,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,489
цветок,21,88f2ceb4ad7be1adfed2145c5dddd178,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,459
степь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,450
двойник,21,88f2ceb4ad7be1adfed2145c5dddd178,A,дв,двойник,SSP,word,start,8,3166,7,2,690
организм,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,440
слайд,21,88f2ceb4ad7be1adfed2145c5dddd178,A,сл,слайд,SSP,word,start,1.7,6393,5,2,431
соблазн,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,370
мгновение,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,460
спектр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ктр,спектр,nSSP,word,end,27,27,6,3,431
министр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,470
мщение,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,180
болезнь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,578
динозавр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,830
сторож,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,сторож,filler,word,filler,14.4,None,6,None,439
песнь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,451
велосипед,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,велосипед,filler,word,filler,23.1,None,9,None,510
темп,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мп,темп,SSP,word,end,49,63.1,4,2,411
киборг,21,88f2ceb4ad7be1adfed2145c5dddd178,A,рг,киборг,SSP,word,end,0.6,158,6,2,699
штраф,21,88f2ceb4ad7be1adfed2145c5dddd178,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,390
жезл,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,360
дартс,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,470
рыба,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,рыба,filler,word,filler,86,None,4,None,430
куча,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,куча,filler,word,filler,40.4,None,4,None,359
глаз,21,88f2ceb4ad7be1adfed2145c5dddd178,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,380
обед,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,обед,filler,word,filler,69.7,None,4,None,751
блеск,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,350
журавль,21,88f2ceb4ad7be1adfed2145c5dddd178,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,370
мгла,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,399
холст,21,88f2ceb4ad7be1adfed2145c5dddd178,A,лст,холст,SSP,word,end,8.9,8.9,5,3,410
льдина,21,88f2ceb4ad7be1adfed2145c5dddd178,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,450
волк,21,88f2ceb4ad7be1adfed2145c5dddd178,A,лк,волк,SSP,word,end,36.1,133,4,2,510
нораха,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,нораха,filler,pseudoword,filler,None,None,6,None,971
люфизм,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,1080
ниял,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,ниял,filler,pseudoword,filler,None,None,4,None,401
щавила,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,щавила,filler,pseudoword,filler,None,None,6,None,711
кусоратуз,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,439
ашомп,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,390
нокортс,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,611
цвоп,21,88f2ceb4ad7be1adfed2145c5dddd178,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,408
слаш,21,88f2ceb4ad7be1adfed2145c5dddd178,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,259
мщикус,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,2180
мгнинул,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,2670
якузн,21,88f2ceb4ad7be1adfed2145c5dddd178,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,411
шокесл,21,88f2ceb4ad7be1adfed2145c5dddd178,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,410
мздырмыг,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,449
мгнус,21,88f2ceb4ad7be1adfed2145c5dddd178,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,410
двурь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,440
кулоктр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,482
стаху,21,88f2ceb4ad7be1adfed2145c5dddd178,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,520
вирб,21,88f2ceb4ad7be1adfed2145c5dddd178,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,421
вихатор,21,88f2ceb4ad7be1adfed2145c5dddd178,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,510
щуснь,21,88f2ceb4ad7be1adfed2145c5dddd178,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,420
вущавль,21,88f2ceb4ad7be1adfed2145c5dddd178,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,398
льгысет,21,88f2ceb4ad7be1adfed2145c5dddd178,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,910
косторг,21,88f2ceb4ad7be1adfed2145c5dddd178,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,410
уфилст,21,88f2ceb4ad7be1adfed2145c5dddd178,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,479
носудр,21,88f2ceb4ad7be1adfed2145c5dddd178,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,491
