group,cluster,word,SSP_adh,position,word_frequency,cluster_frequency,word_length,cluster_length,type,sentence,question,answer_1,answer_2,correct_answer
A,мгн,мгнус,nSSP,start,None,113.6,9,3,pseudoword,мгнус вылетел из леса и сел на ветку дерева.,,,,
B,мст,мстунит,nSSP,start,None,15.9,8,3,pseudoword,а как выглядел мстунит,,,,
A,мгл,мгнинул,nSSP,start,None,9.1,4,3,pseudoword,мгнинул выполз из под забора и уставился на меня выпученными глазами,Откуда выполз мгнинул?,из-под забора,из пещеры,из-под забора
B,льст,льстыр,nSSP,start,None,6.7,6,3,pseudoword,льстыр не продается в наших гипермаркетах,,,,
A,мзд,мздырмыг,nSSP,start,None,2.7,4,3,pseudoword,соседи шумно чинили свой мздырмыг,,,,
B,рв,рвыкут,nSSP,start,None,100.9,7,2,pseudoword,"рвыкут стоял на полке, не вызывая подозрений",,,,
A,льг,льгысет,nSSP,start,None,38.6,6,2,pseudoword,льгысет отличная намазка на бутерброд.,,,,
B,рж,ржыр,nSSP,start,None,31.1,8,2,pseudoword,ржыр стал пиком продаж в прошлом месяце,,,,
A,льв,львестен,nSSP,start,None,10.9,7,2,pseudoword,львествен всегда можно найти в соседних пещерах,,,,
B,лж,лжона,nSSP,start,None,10.1,4,2,pseudoword,"лжона, которую она всегда носила с собой, отлично дополняла ее образ ",,,,
A,льд,льденус,nSSP,start,None,8.6,6,2,pseudoword,"где-то в подвале завалялся льденус, сообщил Вася",,,,
B,рт,ртос,nSSP,start,None,7.9,5,2,pseudoword,ртос неплохо справлялся с работой,,,,
A,мщ,мщикус,nSSP,start,None,1.2,6,2,pseudoword,"мщикус расположился на подоконнике, не вызывая подозрений",,,,
B,ств,ствонет,SSP,start,None,61.9,5,3,pseudoword,ствонет довольно загадочный и плохо изученный объект.,,,,
A,гл,глен,SSP,start,None,2880.4,4,2,pseudoword,глен товар дня.,,,,
B,вр,врамус,SSP,start,None,3016.4,7,2,pseudoword,врамус вылез из-за кондиционера и осмотрелся,,,,
A,дв,двурь,SSP,start,None,3166,7,2,pseudoword,в банке для приправ обнаружилась двурь,где обнаружилась двурь?,в банке,на заборе,в банке
B,шкв,шквурм,SSP,start,None,4.2,5,3,pseudoword,шквурм в соседнем городе не принес результатов.,,,,
A,штр,штран,SSP,start,None,51.1,5,3,pseudoword,штран отличное место для летнего путешествия,,,,
B,скл,склус,SSP,start,None,262.9,5,3,pseudoword,склус перемещается почти неслышно,Как перемещается склус?,неслышно,невидимо,неслышно
A,цв,цвоп,SSP,start,None,369.3,6,2,pseudoword,цвоп позволяет существенно оптимизировать транспортные затраты,,,,
B,кр,крак,SSP,start,None,4723.9,4,2,pseudoword,крак оказался довольно приятным на вкус,,,,
A,ст,стаху,SSP,start,None,9964.8,5,2,pseudoword,стаху жизненно необходимая деталь для строительства,,,,
B,пр,прен,SSP,start,None,36041.9,5,2,pseudoword,прен игрушка на все случаи жизни,,,,
A,сл,слаш,SSP,start,None,6393,5,2,pseudoword,"слаш висел в шкафу, все больше притягивая мое внимание",,,,
B,тр,трацеп,SSP,start,None,4601.6,8,2,pseudoword,трацеп обнаружился под витриной,,,,
A,знь,язнь,nSSP,end,None,1548.5,7,2,pseudoword,язнь показалась мне сладкой и необычной,Какой была язнь?,сладкой,соленой,сладкой
B,тр,кузетр,nSSP,end,None,792,5,2,pseudoword,кузетр великолепная добавка к салату,,,,
A,зм,люфизм,nSSP,end,None,725.1,8,2,pseudoword,люфизм один из редких драгоценных камней,,,,
B,бль,торибль,nSSP,end,None,416.2,5,2,pseudoword,торибль обнаружился в составе жидкости для мойки окон,,,,
A,сл,шокесл,nSSP,end,None,294.6,5,2,pseudoword,рисовать шокесл тяжелый труд,,,,
B,нтр,фунтр,nSSP,end,None,281.5,5,3,pseudoword,"фунтр оказался куда более громоздким, чем я предполагал",Каким был фунтр?,крошечный,громоздким,громоздким
A,стр,ликостр,nSSP,end,None,249.6,7,3,pseudoword,"ликостр рос в самой чаще, окруженный другими растениями",,,,
B,кль,вигокль,nSSP,end,None,178,9,2,pseudoword,"вигокль все это время лежал в ящике, дожидаясь своего часа.",,,,
A,др,носудр,nSSP,end,None,73.4,4,2,pseudoword,носудр очень красивый цветок,Что такое носудр?,цветок,носок,цветок
B,кл,жакл,nSSP,end,None,69.5,8,2,pseudoword,жакл небоскреб в центре города,,,,
A,вр,шанавр,nSSP,end,None,43.2,8,2,pseudoword,"шанавр мерцал в лунном свете, ничуть не изменившись за годы нахождения в сыром погребе",,,,
B,гр,ипогр,nSSP,end,None,29.7,4,2,pseudoword,ипогр внутри меня негодовал,,,,
A,ктр,кулоктр,nSSP,end,None,27,6,3,pseudoword,кулоктр совершенно незаменим в нашей ситуации,,,,
B,мбр,шомбр,nSSP,end,None,3.4,5,3,pseudoword,шомбр всегда можно найти на полке у бабушки,,,,
A,зл,физл,nSSP,end,None,3.5,4,2,pseudoword,физл зацепился за борт и влез на палубу,,,,
B,мбль,коромбль,nSSP,end,None,21.7,8,3,pseudoword,коромбль с помидорами отправился в кастрюлю,,,,
A,снь,щуснь,nSSP,end,None,18.7,5,2,pseudoword,"щуснь ждал меня на мосту, свисая с фонаря",,,,
B,ндр,анакондр,nSSP,end,None,16.6,7,3,pseudoword,как приправа анакондр был не очень,,,,
A,зн,якузн,nSSP,end,None,13.2,7,2,pseudoword,во дворе водился один якузн,,,,
B,хрь,инихрь,nSSP,end,None,9.7,5,2,pseudoword,инихрь хорошо сочетался с сыром,С чем хорошо сочетался инихрь?,с сыром,с кукурузой,с сыром
A,вль,вущавль,nSSP,end,None,5.2,7,2,pseudoword,вущавль отличная зелень,,,,
B,лб,вудалб,SSP,end,None,33.1,5,2,pseudoword,вудалб высоко летает и больно клюет,,,,
A,ртс,нокортс,SSP,end,None,0.4,5,3,pseudoword,нокортс оказался не так прост как казалось,,,,
B,ст,югост,SSP,end,None,2163.2,5,2,pseudoword,выбор пал на югост,,,,
A,рг,косторг,SSP,end,None,158,6,2,pseudoword,косторг оказался довольно забавным,,,,
B,нс,щутонс,SSP,end,None,179.5,5,2,pseudoword,"щутонс поджидал меня в кармане, ничуть не волнуясь",,,,
A,рб,вирб,SSP,end,None,56.1,4,2,pseudoword,вирб засел в куст и отказался выходить,Куда засел вирб?,в куст,в колодец,в куст
B,зд,сигузд,SSP,end,None,363.2,5,2,pseudoword,сигузд медленно испарялся,,,,
A,лк,восхолк,SSP,end,None,133,4,2,pseudoword,восхолк город под водой практически неизвестный широкой общественности,,,,
B,йн,нокейн,SSP,end,None,77.5,7,2,pseudoword,нокейн в кармане признак успеха,,,,
A,ск,хущаск,SSP,end,None,568.9,5,2,pseudoword,хущаск оказался на удивление приятным и обволакивающим,,,,
B,рд,фофард,SSP,end,None,132.5,6,2,pseudoword,фофард нарисовал на полу петя,Кто нарисовал фофард на полу?,Петя,Витя,Петя
A,мп,ашомп,SSP,end,None,63.1,4,2,pseudoword,в наших соцсетях наконец-то запустился ашомп,,,,
B,мф,зовамф,SSP,end,None,9.3,6,2,pseudoword,зовамф предоставлял невероятные возможности для стриминга,,,,
A,лст,уфилст,SSP,end,None,8.9,5,3,pseudoword,уфилст неожиданно нарисовался в моем календаре,,,,
B,ркт,моркт,SSP,end,None,11.6,7,3,pseudoword,моркт пройдет в понедельник по расписанию,,,,
A,None,нощага,filler,filler,None,None,6,None,pseudoword,"нощага мне понравилась, хотя мероприятие было скучным",,,,
B,None,визун,filler,filler,None,None,5,None,pseudoword,визун притягивал путешественников со всего мира,,,,
A,None,щавила,filler,filler,None,None,6,None,pseudoword,щавила сидела на троне дожидаясь представления,,,,
B,None,шейун,filler,filler,None,None,5,None,pseudoword,шейун распускался в воде,,,,
A,None,нораха,filler,filler,None,None,6,None,pseudoword,нораха была спрятана в дальний карман,,,,
B,None,кугора,filler,filler,None,None,6,None,pseudoword,кугора наивысшая благодать,,,,
A,None,ниял,filler,filler,None,None,4,None,pseudoword,ниял распадалась на частицы,,,,
B,None,гощара,filler,filler,None,None,6,None,pseudoword,гощара оказалась неплохим источником эллектричества,Источником чего отказалась гощара?,электричества,пропитания,электричества
A,None,кусоратуз,filler,filler,None,None,9,None,pseudoword,кусоратуз на обед обеспечивал нам сил на весь день,,,,
B,None,нефалета,filler,filler,None,None,8,None,pseudoword,нефелета казалась отличным лекарством,,,,
A,None,герищав,filler,filler,None,None,7,None,pseudoword,герищав так и не стал моим питомцем,,,,
B,None,поратух,filler,filler,None,None,7,None,pseudoword,поратух прекрасно украшал интерьер,,,,
A,None,вихатор,filler,filler,None,None,7,None,pseudoword,вихатор сломался и начал испускать странный свет,,,,
B,None,лурян,filler,filler,None,None,5,None,pseudoword,"лурян испускал звуки, привлекавшие внимание прохожих",Что испускал лурян?,звуки,свет,звуки
